time,0.0.0.0,0.0.0.1,0.0.0.2,0.0.0.3,0.0.0.4,0.0.1.0,0.0.1.1,0.0.1.2,0.0.2.0,0.0.2.1,0.0.2.2,0.0.3.0,0.0.3.1,0.0.3.2,0.0.3.3,0.0.4.0,0.0.4.1,0.0.4.2,0.0.4.3,0.0.4.4,0.0.4.5,0.0.4.6,0.0.4.7,0.0.4.8,0.1.0.0,0.1.0.1,0.1.0.2,0.1.0.3,0.1.0.4,0.1.0.5,0.1.0.6,0.1.0.7,0.1.0.8,0.1.1.0,0.1.1.1,0.1.1.2,0.1.1.3,0.1.1.4,0.1.1.5,0.1.2.0,0.1.2.1,0.1.2.2,0.1.2.3,0.1.2.4,0.1.2.5,0.1.2.6,0.1.3.0,0.1.3.1,0.1.4.0,0.1.4.1,0.1.4.2,0.1.4.3,0.1.4.4,0.1.4.5,0.1.4.6,0.1.4.7,1.0.0.0,1.0.0.1,1.0.0.2,1.0.0.3,1.0.0.4,1.0.0.5,1.0.0.6,1.0.0.7,1.0.0.8,1.0.1.0,1.0.1.1,1.0.1.2,1.0.1.3,1.0.1.4,1.0.2.0,1.0.2.1,1.0.3.0,1.0.3.1,1.0.3.2,1.0.4.0,1.0.4.1,1.0.4.2,1.0.4.3,1.0.4.4,1.1.0.0,1.1.0.1,1.1.1.0,1.1.1.1,1.1.1.2,1.1.2.0,1.1.2.1,1.1.2.2,1.1.2.3,1.1.2.4,1.1.3.0,1.1.3.1,1.1.3.2,1.1.3.3,1.1.3.4,1.1.4.0,1.1.4.1,1.1.4.2,1.1.4.3,1.1.4.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,4.2520202949048596,3.1860559607741377,0,0,0,0,0,0,6.608242628568127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.738976217880257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.412638002939603,0,0,0,0,0,0,0,0,0,5.041727268821385,0,0,0,0,0,0,0,0,0,0,1.0490456166806736,0,6.2670239778832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,3.1215031685752574,2.3389549172029733,0,0,0,0,0,0,4.8512586660292625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.883722552203299,0.12378024912891653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7711715016566172,0,0,0,0,0,0,0,0,0,3.7012447150303105,0,0,0,0,0,0,0,0,0,0,0.7701278426099276,0,4.600762425320748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,1.8771059432903552,1.406523056061428,0,0,0,0,0,0,2.917288877396448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.740851333092675,0,0,0,1.6227415695945517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4865483022450401,0,0,0,1.065088315724381,0,0,0,0,0,0,0.17504777607932584,0,0,2.2257316673897556,0,0,0,0,0,0,0,0,0,0,0.4631139141583164,7.73873052322288,2.7666537644997153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,5.847823023129943,0,0,1.035873474630147,0,0,0,0,0,0,0,0,0,0,4.3000306908251344,0,0,0,0,0,0,0,0,0,0,0,0,2.6162200171330663,0,0,0,4.354112261502656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3054980338907205,0,0,0,0.5877647654044664,0,0,0,0,0,0,0.46968518121230907,0,0,1.2282611986470837,0,0,0,0,0,0,0,0,0,0,0.2555675779108315,20.764428600943837,1.5267669139160525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,15.690778128318616,0,0,0.5447882551505029,0,0,0,0,0,0,0,0,0,0,11.537768370867225,0,0,0,0,0,0,0,0,0,0,0,0,1.375926667813009,0,0,0,3.1964511639089044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6302806584235761,0,0.9583952960529873,0,0,0,0.3091181971794115,0,0,0,0,0,0,0.34480639312655775,0,0,0.6459691184957927,0,0,0,0,0,0,0,0,0,0,0.13440851441127355,15.243631303728568,0.802959727635483,0,0.2674678715235255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,11.518951051021226,0,0,0.27781978860155954,0,0,0,0,0,0,0,0,1.9999471218955296,0,8.470133731747694,0,0,0,0,0,0,0,0,0,0,0,0,0.7016664775151138,0,0,0,1.9221756804909422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.691158219183192,0,0,0,1.5096294639806607,0,0.1576376718502391,0.3387084104014531,0,0,0,0,0,0.20734822131152603,0,0,0.32941790181225283,0,0,0,0,0,0,0,0,0,0,0.0685428599221064,9.166708913070238,0.40947670893827964,0,0.7176651912907953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,6.926884360079523,0,1.7788645499290248,0,0,0,0,0,0,0,0,0,5.366223709902248,0,5.093487819711111,0,0,0,0,0,0,0,0,0,0.09106772434117652,0,0,0.35022926171139945,0,0,0,1.0607450304640191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.241517060976432,0,0,0,4.050611805727137,0,0,0.9088165795688088,0,0,0,0,0,0.11442429407679279,0,0,0.16442539617226973,0,0,0,0,0,0,0,0,0,0,0.03421242997260065,0,0.20438588710599795,0,0.5268540630614538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,3.822573678424976,0,4.773018756359081,0,0,0,0,0,0,0,0,0,3.939464807779885,0,2.8108210645489087,0,0,0,0,0,0,0,0,0,0.2443513512013699,0,0,0.17207477357207543,0,0,0,0.5578687440687575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7465823124308801,4.164576592488406,0,0,2.9736446934170897,0,0,0.6671825711126435,0,0,0,0,0,0.060178210026259296,0,0,0.08078554795103575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31682200517218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,2.010374138788451,0,3.503979788030945,0,0,0,0,0,0,0,0,0,2.368984557988455,0,1.47827156578425,0,0,0,0,0,0,0,0,0,0.17938379032073468,0.5195396421268778,2.826874066180635,0.08352608074656125,0,0,0,0.2844903044060359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41199848993049604,11.174320264594767,0,0,1.7881917223216397,0.9721183036199873,0,0.4012081045129617,0,1.9104515309266614,0,0,0,0,0,0,0.03921376771992124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17483696778548405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
